Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSTO
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GEO,Europe & Central Asia,Upper middle income,100
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GHA,Sub-Saharan Africa,Lower middle income,48.2999992370605
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GIB,Europe & Central Asia,High income,100
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GIN,Sub-Saharan Africa,Low income,18.9842319488525
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GMB,Sub-Saharan Africa,Low income,27.7999992370605
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GNB,Sub-Saharan Africa,Low income,2.59146237373352
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GNQ,Sub-Saharan Africa,Upper middle income,65.5740432739258
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GRC,Europe & Central Asia,High income,100
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GRD,Latin America & Caribbean,Upper middle income,87.010124206543
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GRL,Europe & Central Asia,High income,100
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GTM,Latin America & Caribbean,Upper middle income,78.51220703125
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GUM,East Asia & Pacific,High income,100
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,GUY,Latin America & Caribbean,Upper middle income,76.2472534179688
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,HKG,East Asia & Pacific,High income,100
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,HND,Latin America & Caribbean,Lower middle income,65.090461730957
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,HRV,Europe & Central Asia,High income,100
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,HTI,Latin America & Caribbean,Lower middle income,31.6000003814697
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,HUN,Europe & Central Asia,High income,100
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IDN,East Asia & Pacific,Lower middle income,87.9400024414063
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IMN,Europe & Central Asia,High income,100
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IND,South Asia,Lower middle income,64.0474853515625
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IRL,Europe & Central Asia,High income,100
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IRN,Middle East & North Africa,Lower middle income,98.3320236206055
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,IRQ,Middle East & North Africa,Upper middle income,97.3246307373047
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ISL,Europe & Central Asia,High income,100
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ISR,Middle East & North Africa,High income,100
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ITA,Europe & Central Asia,High income,100
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,JAM,Latin America & Caribbean,Upper middle income,86.6085662841797
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,JOR,Middle East & North Africa,Upper middle income,99.0452499389648
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,JPN,East Asia & Pacific,High income,100
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KAZ,Europe & Central Asia,Upper middle income,99.9199981689453
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KEN,Sub-Saharan Africa,Lower middle income,16
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KGZ,Europe & Central Asia,Lower middle income,99.5021209716797
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KHM,East Asia & Pacific,Lower middle income,19.2999992370605
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KIR,East Asia & Pacific,Lower middle income,60.4868774414063
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KNA,Latin America & Caribbean,High income,96.0549850463867
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KOR,East Asia & Pacific,High income,100
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,KWT,Middle East & North Africa,High income,100
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LAO,East Asia & Pacific,Lower middle income,48
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LBN,Middle East & North Africa,Lower middle income,99.3161087036133
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LBR,Sub-Saharan Africa,Low income,
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LBY,Middle East & North Africa,Upper middle income,93.6944427490234
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LCA,Latin America & Caribbean,Upper middle income,90.8346939086914
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LIE,Europe & Central Asia,High income,100
Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LKA,South Asia,Lower middle income,74.9988174438477
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LSO,Sub-Saharan Africa,Lower middle income,5.46581268310547
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LTU,Europe & Central Asia,High income,100
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LUX,Europe & Central Asia,High income,100
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,LVA,Europe & Central Asia,High income,100
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MAC,East Asia & Pacific,High income,100
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MAF,Latin America & Caribbean,High income,100
Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MAR,Middle East & North Africa,Lower middle income,74.8885269165039
Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MCO,Europe & Central Asia,High income,100
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MDA,Europe & Central Asia,Upper middle income,100
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MDG,Sub-Saharan Africa,Low income,20.2999992370605
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MDV,South Asia,Upper middle income,89.2234649658203
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MEX,Latin America & Caribbean,Upper middle income,97.4008560180664
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MHL,East Asia & Pacific,Upper middle income,72.9166259765625
North Macedonia,MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MKD,Europe & Central Asia,Upper middle income,100
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MLI,Sub-Saharan Africa,Low income,14.7840194702148
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MLT,Middle East & North Africa,High income,100
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MMR,East Asia & Pacific,Lower middle income,45.1377143859863
Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MNE,Europe & Central Asia,Upper middle income,100
Mongolia,MNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MNG,East Asia & Pacific,Lower middle income,76.3000030517578
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MNP,East Asia & Pacific,High income,99.9618988037109
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MOZ,Sub-Saharan Africa,Low income,8.10000038146973
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MRT,Sub-Saharan Africa,Lower middle income,22.8727340698242
Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MUS,Sub-Saharan Africa,Upper middle income,99.1855163574219
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MWI,Sub-Saharan Africa,Low income,6.19999980926514
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,MYS,East Asia & Pacific,Upper middle income,99.1486587524414
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NAM,Sub-Saharan Africa,Upper middle income,37.8788528442383
New Caledonia,NCL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NCL,East Asia & Pacific,High income,100
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NER,Sub-Saharan Africa,Low income,9.3507194519043
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NGA,Sub-Saharan Africa,Lower middle income,52.2000007629395
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NIC,Latin America & Caribbean,Lower middle income,74.3876266479492
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NLD,Europe & Central Asia,High income,100
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NOR,Europe & Central Asia,High income,100
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NPL,South Asia,Lower middle income,39.2989501953125
Nauru,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NRU,East Asia & Pacific,High income,99.3523178100586
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,NZL,East Asia & Pacific,High income,100
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,OMN,Middle East & North Africa,High income,100
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PAK,South Asia,Lower middle income,70.4429931640625
Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PAN,Latin America & Caribbean,High income,87.8000030517578
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PER,Latin America & Caribbean,Upper middle income,74.3809661865234
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PHL,East Asia & Pacific,Lower middle income,76.5999984741211
Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PLW,East Asia & Pacific,Upper middle income,98.3272476196289
Papua New Guinea,PNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PNG,East Asia & Pacific,Lower middle income,14.4721202850342
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,POL,Europe & Central Asia,High income,100
Puerto Rico,PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PRI,Latin America & Caribbean,High income,100
"Korea, Dem. People's Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PRK,East Asia & Pacific,Low income,
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PRT,Europe & Central Asia,High income,100
Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PRY,Latin America & Caribbean,Upper middle income,92.5583953857422
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PSE,Middle East & North Africa,Lower middle income,99.0999984741211
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,PYF,East Asia & Pacific,High income,100
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,QAT,Middle East & North Africa,High income,100
Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ROU,Europe & Central Asia,High income,100
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,RUS,Europe & Central Asia,Upper middle income,100
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,RWA,Sub-Saharan Africa,Low income,7.2881646156311
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SAU,Middle East & North Africa,High income,100
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SDN,Sub-Saharan Africa,Low income,29.7905673980713
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SEN,Sub-Saharan Africa,Lower middle income,41.9641342163086
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SGP,East Asia & Pacific,High income,100
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SLB,East Asia & Pacific,Lower middle income,13.3712463378906
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SLE,Sub-Saharan Africa,Low income,10.0556230545044
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SLV,Latin America & Caribbean,Lower middle income,86.9611511230469
San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SMR,Europe & Central Asia,High income,100
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SOM,Sub-Saharan Africa,Low income,9.70844078063965
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SRB,Europe & Central Asia,Upper middle income,100
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SSD,Sub-Saharan Africa,Low income,
Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,STP,Sub-Saharan Africa,Lower middle income,53.6780776977539
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SUR,Latin America & Caribbean,Upper middle income,95.1830062866211
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SVK,Europe & Central Asia,High income,100
Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SVN,Europe & Central Asia,High income,100
Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SWE,Europe & Central Asia,High income,100
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SWZ,Sub-Saharan Africa,Lower middle income,28.6060962677002
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SXM,Latin America & Caribbean,High income,100
Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SYC,Sub-Saharan Africa,High income,95.0061950683594
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,SYR,Middle East & North Africa,Low income,92.6683578491211
Turks and Caicos Islands,TCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TCA,Latin America & Caribbean,High income,95.4518432617188
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TCD,Sub-Saharan Africa,Low income,4.20117616653442
Togo,TGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TGO,Sub-Saharan Africa,Low income,23.100118637085
Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,THA,East Asia & Pacific,Upper middle income,91.7038269042969
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TJK,Europe & Central Asia,Lower middle income,100
Turkmenistan,TKM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TKM,Europe & Central Asia,Upper middle income,99.6979675292969
Timor-Leste,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TLS,East Asia & Pacific,Lower middle income,27.7000007629395
Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TON,East Asia & Pacific,Upper middle income,87.7032165527344
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TTO,Latin America & Caribbean,High income,97.3090209960938
Tunisia,TUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TUN,Middle East & North Africa,Lower middle income,98.4000015258789
Turkiye,TUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TUR,Europe & Central Asia,Upper middle income,100
Tuvalu,TUV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TUV,East Asia & Pacific,Upper middle income,95.225715637207
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,TZA,Sub-Saharan Africa,Lower middle income,11.1000003814697
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,UGA,Sub-Saharan Africa,Low income,10.5635538101196
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,UKR,Europe & Central Asia,Lower middle income,100
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,URY,Latin America & Caribbean,High income,97.9820404052734
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,USA,North America,High income,100
Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,UZB,Europe & Central Asia,Lower middle income,99.6833648681641
St. Vincent and the Grenadines,VCT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,VCT,Latin America & Caribbean,Upper middle income,83.7522735595703
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,VGB,Latin America & Caribbean,High income,97.7226715087891
Virgin Islands (U.S.),VIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,VIR,Latin America & Caribbean,High income,100
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,VNM,East Asia & Pacific,Lower middle income,90.1451950073242
Vanuatu,VUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,VUT,East Asia & Pacific,Lower middle income,27.5250797271729
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,WSM,East Asia & Pacific,Lower middle income,90.0178833007813
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,XKX,Europe & Central Asia,Upper middle income,
"Yemen, Rep.",YEM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,YEM,Middle East & North Africa,Low income,52.6288032531738
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ZAF,Sub-Saharan Africa,Upper middle income,78.8000030517578
Zambia,ZMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ZMB,Sub-Saharan Africa,Low income,18.5
Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003.0,ZWE,Sub-Saharan Africa,Lower middle income,35.1883506774902
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ABW,Latin America & Caribbean,High income,100
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AFG,South Asia,Low income,20.0649681091309
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AGO,Sub-Saharan Africa,Lower middle income,28.4705505371094
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ALB,Europe & Central Asia,Upper middle income,100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AND,Europe & Central Asia,High income,100
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ARE,Middle East & North Africa,High income,100
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ARG,Latin America & Caribbean,Upper middle income,96.6535034179688
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ARM,Europe & Central Asia,Upper middle income,99.1892318725586
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ATG,Latin America & Caribbean,High income,98.0371017456055
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AUS,East Asia & Pacific,High income,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AUT,Europe & Central Asia,High income,100
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,AZE,Europe & Central Asia,Upper middle income,99.0747985839844
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BDI,Sub-Saharan Africa,Low income,3.76385879516602
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BEL,Europe & Central Asia,High income,100
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BEN,Sub-Saharan Africa,Lower middle income,25.2798328399658
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BFA,Sub-Saharan Africa,Low income,10.8242387771606
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BGD,South Asia,Lower middle income,40.5999984741211
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BGR,Europe & Central Asia,Upper middle income,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BHR,Middle East & North Africa,High income,100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BHS,Latin America & Caribbean,High income,100
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BIH,Europe & Central Asia,Upper middle income,100
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BLR,Europe & Central Asia,Upper middle income,100
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BLZ,Latin America & Caribbean,Upper middle income,82.6809768676758
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BMU,North America,High income,100
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BOL,Latin America & Caribbean,Lower middle income,75.9453048706055
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BRA,Latin America & Caribbean,Upper middle income,96.7651062011719
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BRB,Latin America & Caribbean,High income,99.9967422485352
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BRN,East Asia & Pacific,High income,100
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BTN,South Asia,Lower middle income,51.8330116271973
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,BWA,Sub-Saharan Africa,Upper middle income,35.2989120483398
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CAF,Sub-Saharan Africa,Low income,7.04570055007935
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CAN,North America,High income,100
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CHE,Europe & Central Asia,High income,100
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CHI,Europe & Central Asia,High income,100
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CHL,Latin America & Caribbean,High income,97.606086730957
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CHN,East Asia & Pacific,Upper middle income,97.9896697998047
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CIV,Sub-Saharan Africa,Lower middle income,52.5189170837402
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CMR,Sub-Saharan Africa,Lower middle income,47.0999984741211
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,COD,Sub-Saharan Africa,Low income,9.10544872283936
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,COG,Sub-Saharan Africa,Lower middle income,32.9482078552246
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,COL,Latin America & Caribbean,Upper middle income,95.3503112792969
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,COM,Sub-Saharan Africa,Lower middle income,48.8924865722656
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CPV,Sub-Saharan Africa,Lower middle income,65.3429870605469
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CRI,Latin America & Caribbean,Upper middle income,98.9547805786133
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CUB,Latin America & Caribbean,Upper middle income,96.6509094238281
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CUW,Latin America & Caribbean,High income,100
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CYM,Latin America & Caribbean,High income,100
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CYP,Europe & Central Asia,High income,100
Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,CZE,Europe & Central Asia,High income,100
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DEU,Europe & Central Asia,High income,100
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DJI,Middle East & North Africa,Lower middle income,56.2845993041992
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DMA,Latin America & Caribbean,Upper middle income,86.2253112792969
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DNK,Europe & Central Asia,High income,100
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DOM,Latin America & Caribbean,Upper middle income,90.3165664672852
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,DZA,Middle East & North Africa,Lower middle income,98.9120788574219
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ECU,Latin America & Caribbean,Upper middle income,94.8655700683594
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,EGY,Middle East & North Africa,Lower middle income,97.9070281982422
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004.0,ERI,Sub-Saharan Africa,Low income,33.6106033325195
