Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECRENEW
Gibraltar,GIB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,GIB,Europe & Central Asia,High income,0.0
Greece,GRC,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,GRC,Europe & Central Asia,High income,1126000000.0
Guatemala,GTM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,GTM,Latin America & Caribbean,Upper middle income,802000000.0
"Hong Kong SAR, China",HKG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,HKG,East Asia & Pacific,High income,0.0
Honduras,HND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,HND,Latin America & Caribbean,Lower middle income,36000000.0
Croatia,HRV,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,HRV,Europe & Central Asia,High income,0.0
Haiti,HTI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,HTI,Latin America & Caribbean,Lower middle income,0.0
Hungary,HUN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,HUN,Europe & Central Asia,High income,165000000.0
Indonesia,IDN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,IDN,East Asia & Pacific,Lower middle income,6309000000.0
India,IND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,IND,South Asia,Lower middle income,6862000000.0
Ireland,IRL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,IRL,Europe & Central Asia,High income,540000000.0
"Iran, Islamic Rep.",IRN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,IRN,Middle East & North Africa,Lower middle income,27000000.0
Iraq,IRQ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,IRQ,Middle East & North Africa,Upper middle income,0.0
Iceland,ISL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ISL,Europe & Central Asia,High income,1406000000.0
Israel,ISR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ISR,Middle East & North Africa,High income,12000000.0
Italy,ITA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ITA,Europe & Central Asia,High income,10196000000.0
Jamaica,JAM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,JAM,Latin America & Caribbean,Upper middle income,63000000.0
Jordan,JOR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,JOR,Middle East & North Africa,Upper middle income,9000000.0
Japan,JPN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,JPN,East Asia & Pacific,High income,15815000000.0
Kazakhstan,KAZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KAZ,Europe & Central Asia,Upper middle income,0.0
Kenya,KEN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KEN,Sub-Saharan Africa,Lower middle income,909000000.0
Kyrgyz Republic,KGZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KGZ,Europe & Central Asia,Lower middle income,0.0
Cambodia,KHM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KHM,East Asia & Pacific,Lower middle income,8000000.0
"Korea, Rep.",KOR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KOR,East Asia & Pacific,High income,221000000.0
Kuwait,KWT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,KWT,Middle East & North Africa,High income,0.0
Lebanon,LBN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LBN,Middle East & North Africa,Lower middle income,0.0
Libya,LBY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LBY,Middle East & North Africa,Upper middle income,0.0
Sri Lanka,LKA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LKA,South Asia,Lower middle income,14000000.0
Lithuania,LTU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LTU,Europe & Central Asia,High income,7000000.0
Luxembourg,LUX,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LUX,Europe & Central Asia,High income,61000000.0
Latvia,LVA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,LVA,Europe & Central Asia,High income,72000000.0
Morocco,MAR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MAR,Middle East & North Africa,Lower middle income,203000000.0
Moldova,MDA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MDA,Europe & Central Asia,Upper middle income,0.0
Mexico,MEX,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MEX,Latin America & Caribbean,Upper middle income,8763000000.0
North Macedonia,MKD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MKD,Europe & Central Asia,Upper middle income,0.0
Malta,MLT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MLT,Middle East & North Africa,High income,0.0
Myanmar,MMR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MMR,East Asia & Pacific,Lower middle income,0.0
Mongolia,MNG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MNG,East Asia & Pacific,Lower middle income,0.0
Mozambique,MOZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MOZ,Sub-Saharan Africa,Low income,0.0
Mauritius,MUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MUS,Sub-Saharan Africa,Upper middle income,449000000.0
Malaysia,MYS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,MYS,East Asia & Pacific,Upper middle income,1000000.0
Namibia,NAM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NAM,Sub-Saharan Africa,Upper middle income,0.0
Niger,NER,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NER,Sub-Saharan Africa,Low income,0.0
Nigeria,NGA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NGA,Sub-Saharan Africa,Lower middle income,0.0
Nicaragua,NIC,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NIC,Latin America & Caribbean,Lower middle income,453000000.0
Netherlands,NLD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NLD,Europe & Central Asia,High income,3890000000.0
Norway,NOR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NOR,Europe & Central Asia,High income,548000000.0
Nepal,NPL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NPL,South Asia,Lower middle income,0.0
New Zealand,NZL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,NZL,East Asia & Pacific,High income,3291000000.0
Oman,OMN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,OMN,Middle East & North Africa,High income,0.0
Pakistan,PAK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PAK,South Asia,Lower middle income,0.0
Panama,PAN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PAN,Latin America & Caribbean,High income,21000000.0
Peru,PER,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PER,Latin America & Caribbean,Upper middle income,197000000.0
Philippines,PHL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PHL,East Asia & Pacific,Lower middle income,9822000000.0
Poland,POL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,POL,Europe & Central Asia,High income,579000000.0
"Korea, Dem. People's Rep.",PRK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PRK,East Asia & Pacific,Low income,0.0
Portugal,PRT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PRT,Europe & Central Asia,High income,1980000000.0
Paraguay,PRY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,PRY,Latin America & Caribbean,Upper middle income,0.0
Qatar,QAT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,QAT,Middle East & North Africa,High income,0.0
Romania,ROU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ROU,Europe & Central Asia,High income,3000000.0
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,RUS,Europe & Central Asia,Upper middle income,375000000.0
Saudi Arabia,SAU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SAU,Middle East & North Africa,High income,0.0
Sudan,SDN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SDN,Sub-Saharan Africa,Low income,0.0
Senegal,SEN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SEN,Sub-Saharan Africa,Lower middle income,57000000.0
Singapore,SGP,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SGP,East Asia & Pacific,High income,495000000.0
El Salvador,SLV,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SLV,Latin America & Caribbean,Lower middle income,1067000000.0
Serbia,SRB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SRB,Europe & Central Asia,Upper middle income,0.0
Suriname,SUR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SUR,Latin America & Caribbean,Upper middle income,0.0
Slovak Republic,SVK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SVK,Europe & Central Asia,High income,101000000.0
Slovenia,SVN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SVN,Europe & Central Asia,High income,122000000.0
Sweden,SWE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SWE,Europe & Central Asia,High income,5191000000.0
Syrian Arab Republic,SYR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,SYR,Middle East & North Africa,Low income,0.0
Togo,TGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TGO,Sub-Saharan Africa,Low income,2000000.0
Thailand,THA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,THA,East Asia & Pacific,Upper middle income,1153000000.0
Tajikistan,TJK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TJK,Europe & Central Asia,Lower middle income,0.0
Turkmenistan,TKM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TKM,Europe & Central Asia,Upper middle income,0.0
Trinidad and Tobago,TTO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TTO,Latin America & Caribbean,High income,12000000.0
Tunisia,TUN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TUN,Middle East & North Africa,Lower middle income,33000000.0
Turkiye,TUR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TUR,Europe & Central Asia,Upper middle income,229000000.0
Tanzania,TZA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,TZA,Sub-Saharan Africa,Lower middle income,0.0
Ukraine,UKR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,UKR,Europe & Central Asia,Lower middle income,31000000.0
Uruguay,URY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,URY,Latin America & Caribbean,High income,38000000.0
United States,USA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,USA,North America,High income,81824000000.0
Uzbekistan,UZB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,UZB,Europe & Central Asia,Lower middle income,0.0
Vietnam,VNM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,VNM,East Asia & Pacific,Lower middle income,0.0
Kosovo,XKX,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,XKX,Europe & Central Asia,Upper middle income,0.0
"Yemen, Rep.",YEM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,YEM,Middle East & North Africa,Low income,0.0
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ZAF,Sub-Saharan Africa,Upper middle income,265000000.0
Zambia,ZMB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ZMB,Sub-Saharan Africa,Low income,0.0
Zimbabwe,ZWE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2003.0,ZWE,Sub-Saharan Africa,Lower middle income,0.0
Angola,AGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,AGO,Sub-Saharan Africa,Lower middle income,0.0
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ALB,Europe & Central Asia,Upper middle income,0.0
United Arab Emirates,ARE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ARE,Middle East & North Africa,High income,0.0
Argentina,ARG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ARG,Latin America & Caribbean,Upper middle income,1247000000.0
Armenia,ARM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ARM,Europe & Central Asia,Upper middle income,0.0
Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,AUS,East Asia & Pacific,High income,2573000000.0
Austria,AUT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,AUT,Europe & Central Asia,High income,3010000000.0
Azerbaijan,AZE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,AZE,Europe & Central Asia,Upper middle income,0.0
Belgium,BEL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BEL,Europe & Central Asia,High income,1180000000.0
Benin,BEN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BEN,Sub-Saharan Africa,Lower middle income,0.0
Bangladesh,BGD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BGD,South Asia,Lower middle income,0.0
Bulgaria,BGR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BGR,Europe & Central Asia,Upper middle income,1000000.0
Bahrain,BHR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BHR,Middle East & North Africa,High income,0.0
Bosnia and Herzegovina,BIH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BIH,Europe & Central Asia,Upper middle income,0.0
Belarus,BLR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BLR,Europe & Central Asia,Upper middle income,1000000.0
Bolivia,BOL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BOL,Latin America & Caribbean,Lower middle income,54000000.0
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BRA,Latin America & Caribbean,Upper middle income,12537000000.0
Brunei Darussalam,BRN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BRN,East Asia & Pacific,High income,0.0
Botswana,BWA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,BWA,Sub-Saharan Africa,Upper middle income,0.0
Canada,CAN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CAN,North America,High income,9764000000.0
Switzerland,CHE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CHE,Europe & Central Asia,High income,1003000000.0
Chile,CHL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CHL,Latin America & Caribbean,High income,2038000000.0
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CHN,East Asia & Pacific,Upper middle income,3936000000.0
Cote d'Ivoire,CIV,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CIV,Sub-Saharan Africa,Lower middle income,107000000.0
Cameroon,CMR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CMR,Sub-Saharan Africa,Lower middle income,0.0
"Congo, Dem. Rep.",COD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,COD,Sub-Saharan Africa,Low income,0.0
"Congo, Rep.",COG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,COG,Sub-Saharan Africa,Lower middle income,0.0
Colombia,COL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,COL,Latin America & Caribbean,Upper middle income,519000000.0
Costa Rica,CRI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CRI,Latin America & Caribbean,Upper middle income,1486000000.0
Cuba,CUB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CUB,Latin America & Caribbean,Upper middle income,789000000.0
Cyprus,CYP,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CYP,Europe & Central Asia,High income,0.0
Czech Republic,CZE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,CZE,Europe & Central Asia,High income,722000000.0
Germany,DEU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,DEU,Europe & Central Asia,High income,36538000000.0
Denmark,DNK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,DNK,Europe & Central Asia,High income,9498000000.0
Dominican Republic,DOM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,DOM,Latin America & Caribbean,Upper middle income,26000000.0
Algeria,DZA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,DZA,Middle East & North Africa,Lower middle income,0.0
Ecuador,ECU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ECU,Latin America & Caribbean,Upper middle income,0.0
"Egypt, Arab Rep.",EGY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,EGY,Middle East & North Africa,Lower middle income,523000000.0
Eritrea,ERI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ERI,Sub-Saharan Africa,Low income,1000000.0
Spain,ESP,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ESP,Europe & Central Asia,High income,19086000000.0
Estonia,EST,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,EST,Europe & Central Asia,High income,38000000.0
Ethiopia,ETH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ETH,Sub-Saharan Africa,Low income,0.0
Finland,FIN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,FIN,Europe & Central Asia,High income,10561000000.0
France,FRA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,FRA,Europe & Central Asia,High income,4385000000.0
Gabon,GAB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GAB,Sub-Saharan Africa,Upper middle income,8000000.0
United Kingdom,GBR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GBR,Europe & Central Asia,High income,9294000000.0
Georgia,GEO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GEO,Europe & Central Asia,Upper middle income,0.0
Ghana,GHA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GHA,Sub-Saharan Africa,Lower middle income,0.0
Gibraltar,GIB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GIB,Europe & Central Asia,High income,0.0
Greece,GRC,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GRC,Europe & Central Asia,High income,1246000000.0
Guatemala,GTM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,GTM,Latin America & Caribbean,Upper middle income,879000000.0
"Hong Kong SAR, China",HKG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,HKG,East Asia & Pacific,High income,0.0
Honduras,HND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,HND,Latin America & Caribbean,Lower middle income,53000000.0
Croatia,HRV,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,HRV,Europe & Central Asia,High income,6000000.0
Haiti,HTI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,HTI,Latin America & Caribbean,Lower middle income,0.0
Hungary,HUN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,HUN,Europe & Central Asia,High income,731000000.0
Indonesia,IDN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,IDN,East Asia & Pacific,Lower middle income,6676000000.0
India,IND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,IND,South Asia,Lower middle income,8547000000.0
Ireland,IRL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,IRL,Europe & Central Asia,High income,764000000.0
"Iran, Islamic Rep.",IRN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,IRN,Middle East & North Africa,Lower middle income,47000000.0
Iraq,IRQ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,IRQ,Middle East & North Africa,Upper middle income,0.0
Iceland,ISL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ISL,Europe & Central Asia,High income,1485000000.0
Israel,ISR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ISR,Middle East & North Africa,High income,11000000.0
Italy,ITA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,ITA,Europe & Central Asia,High income,11533000000.0
Jamaica,JAM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,JAM,Latin America & Caribbean,Upper middle income,103000000.0
Jordan,JOR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,JOR,Middle East & North Africa,Upper middle income,9000000.0
Japan,JPN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,JPN,East Asia & Pacific,High income,16832000000.0
Kazakhstan,KAZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KAZ,Europe & Central Asia,Upper middle income,0.0
Kenya,KEN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KEN,Sub-Saharan Africa,Lower middle income,1157000000.0
Kyrgyz Republic,KGZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KGZ,Europe & Central Asia,Lower middle income,0.0
Cambodia,KHM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KHM,East Asia & Pacific,Lower middle income,14000000.0
"Korea, Rep.",KOR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KOR,East Asia & Pacific,High income,301000000.0
Kuwait,KWT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,KWT,Middle East & North Africa,High income,0.0
Lebanon,LBN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,LBN,Middle East & North Africa,Lower middle income,0.0
Libya,LBY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,LBY,Middle East & North Africa,Upper middle income,0.0
Sri Lanka,LKA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,LKA,South Asia,Lower middle income,15000000.0
Lithuania,LTU,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,LTU,Europe & Central Asia,High income,7000000.0
Luxembourg,LUX,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2004.0,LUX,Europe & Central Asia,High income,91000000.0
